Entity,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kuwait,79.222,82.881,84.358,88.777,90.937,73.408,73.157,80.958,80.664,77.401,69.007,82.298,84.139,92.413,112.727,84.724,108.709,106.922,118.033,125.782,120.555,138.048,127.516,143.994,155.05,91.493,46.121,81.675,100.173,116.934,150.55,149.02,155.051,190.984,198.265,211.943,214.305,226.83,271.091,302.839,334.093,321.131,311.96,337.725,342.904,392.796,403.636,419.668,429.623,436.618,448.497,448.808,457.504,457.808,463.421,418.605
Luxembourg,41.789,40.043,39.436,42.653,45.906,47.666,45.836,47.264,50.107,50.88,42.265,42.336,39.503,41.098,42.243,38.94,33.299,31.198,29.163,31.421,32.268,31.542,29.804,30.546,35.097,37.134,39.908,40.025,40.551,38.989,33.911,34.882,34.136,32.958,34.833,37.168,39.83,43.548,45.669,51.732,52.502,51.565,50.057,49.686,47.516,50.036,48.74,47.853,45.583,44.149,42.905,42.337,44.139,46.2,46.973,39.891
Malaysia,28.923,33.75,34.118,34.777,36.427,40.498,44.614,50.467,54.258,55.061,57.183,63.527,70.588,96.847,118.406,127.406,130.671,140.856,161.835,173.995,173.968,195.043,201.155,213.51,238.422,257.37,311.653,336.904,351.36,383.544,399.785,446.306,519.297,482.791,546.6,609.782,614.023,656.685,714.177,761.313,812.211,843.962,900.237,932.259,903.197,930.858,964.128,1035.615,1084.289,1094.415,1110.174,1168.614,1185.769,1202.034,1230.769,1142.389
Mexico,291.737,308.77,314.575,342.499,376.025,401.343,422.218,466.796,503.526,554.659,592.831,630.755,665.23,749.568,828.753,903.238,997.612,1040.129,1028.85,1076.511,1129.204,1096.655,1133.179,1141.275,1204.984,1267.817,1317.061,1339.86,1346.682,1424.214,1401.719,1445.87,1470.699,1536.208,1555.55,1629.087,1609.182,1660.507,1674.373,1764.578,1877.87,1937.301,1947.381,1988.276,1972.478,2030.201,2127.729,2140.368,2149.464,2138.002,2135.905,2162.935,2194.008,2178.449,2098.123,1798.852
Middle Africa,36.955,38.082,37.919,39.345,41.31,43.328,49.777,51.656,57.629,59.649,56.084,55.41,58.44,65.019,66.023,68.522,72.477,70.143,77.693,73.882,82.779,82.212,84.137,88.469,93.12,86.195,80.844,82.879,82.798,80.326,82.686,82.904,82.57,79.533,83.102,90.795,94.055,97.588,104.428,125.758,121.827,136.422,141.381,156.432,164.51,186.114,194.874,208.487,233.782,246.415,247.545,256.214,255.08,260.994,248.127,235.738
Middle East,555.748,579.109,605.518,640.724,673.817,710.06,751.932,817.607,895.876,954.857,952.624,1079.056,1227.231,1287.08,1512.585,1458.837,1591.802,1758.235,1923.437,2174.409,2305.231,2408.165,2575.495,2722.826,2865.719,2982.513,3103.486,3392.179,3489.827,3887.629,4010.43,4144.916,4341.588,4420.876,4514.537,4747.688,4995.175,5278.476,5510.605,5959.794,6282.762,6609.096,6969.832,7469.346,7652.304,8147.821,8509.336,8844.297,9078.603,9397.771,9673.459,9950.383,10084.123,10129.405,10419.368,10123.406
Morocco,17.515,23.168,24.445,26.235,28.736,30.106,32.008,34.604,38.543,41.191,41.928,45.46,50.946,54.083,60.319,60.504,58.767,60.647,62.285,63.138,65.216,67.42,69.417,73.319,80.64,82.537,83.584,93.607,94.687,104.304,102.342,106.763,110.98,113.893,118.344,117.323,126.715,129.878,130.132,148.213,160.884,164.158,162.603,179.483,174.814,193.769,203.684,207.245,212.555,215.697,219.376,221.729,232.223,240.011,261.927,243.882
Netherlands,413.96,443.377,468.8,524.391,584.768,659.776,695.748,808.119,859.616,815.762,822.313,896.831,880.733,898.436,928.206,871.52,826.432,764.073,767.757,797.14,822.432,863.158,880.93,883.802,887.834,910.223,927.519,938.531,946.325,936.122,974.228,1016.224,997.998,1004.92,992.674,1005.576,1044.132,1044.332,1051.399,1086.56,1108.98,1086.184,1104.513,1090.595,1074.776,1137.529,1089.648,1053.579,1022.465,965.064,978.585,996.55,981.114,980.164,975.717,936.821
New Zealand,83.342,88.532,89.262,91.288,92.913,103.462,108.147,115.428,120.196,120.862,122.575,126.697,128.928,127.205,128.615,129.235,129.623,133.955,139.118,146.676,148.627,160.485,161.922,169.722,152.27,180.719,184.414,185.147,190.185,201.041,208.129,211.703,212.79,212.648,214.263,223.971,222.081,230.084,222.781,230.219,223.534,225.439,224.595,225.58,224.375,229.275,230.687,232.18,233.705,244.405,246.505,248.151,252.394,251.748,258.323,233.462
Non-OECD,12688.119,13499.902,13946.327,14598.244,15613.185,16895.681,18137.416,19235.541,20423.85,21389.951,22645.129,23872.638,25385.61,26841.198,28124.976,28842.258,29559.999,30545.357,31651.353,33223.212,34194.752,35452.451,37016.014,38641.333,39452.514,40250.253,40485.058,40610.97,40539.698,40832.233,41466.614,42367.478,42780.736,43183.408,44162.522,45607.762,47142.057,49001.04,52469.654,57043.083,60634.495,64094.416,67774.955,69983.512,71122.475,75330.135,79417.793,81971.953,84079.9,86085.575,87267.986,89049.907,91261.015,94245.317,96398.797,94311.98
Norway,206.561,211.658,227.13,254.377,255.285,267.542,281.029,297.971,315.486,317.824,322.54,345.13,318.465,357.386,382.313,363.917,383.535,378.901,415.824,421.238,417.095,407.592,427.834,440.577,468.957,473.599,436.968,460.061,474.962,459.356,486.891,447.972,470.879,489.419,501.917,554.981,503.437,523.154,463.299,471.732,536.973,492.657,528.006,540.466,499.753,480.405,486.99,537.988,505.147,519.819,526.302,531.672,533.827,528.22,493.904,536.049
OECD,30427.793,31920.09,33180.115,35380.6,37713.319,39826.531,40900.676,42977.756,45429.946,44833.012,43907.766,46252.586,47304.854,48772.011,50102.306,48769.393,47704.559,46283.852,46405.29,48529.917,49700.946,50334.625,51765.476,53515.49,54493.721,54789.058,55240.147,55751.374,56546.021,57521.511,59057.579,61036.956,61651.613,61845.609,62737.632,63967.46,63508.857,64097.457,64652.738,65832.132,66205.147,66343.182,66734.964,65975.592,62757.812,65052.395,64371.919,63753.058,64341.748,63791.087,63958.256,64211.667,64801.376,65790.756,65131.957,60308.451
Oman,5.292,5.52,5.76,6.023,6.274,6.562,15.472,17.677,15.376,14.128,12.905,14.856,14.312,16.642,19.173,17.058,18.028,23.882,22.35,32.494,33.571,31.46,35.435,34.389,39.02,48.864,64.868,62.491,59.838,56.841,65.9,67.784,69.713,71.647,82.482,114.599,126.486,137.646,142.58,132.681,159.326,174.066,173.401,203.975,202.459,240.689,261.74,285.17,318.859,317.487,335.565,336.242,361.229,380.823,386.288,380.513
Pakistan,81.831,82.447,91.253,103.57,104.04,102.428,99.478,87.702,93.555,100.075,107.865,109.482,118.4,126.593,138.022,153.151,164.706,181.607,193.969,205.323,215.807,228.977,256.434,272.473,289.112,302.411,320.399,336.421,372.359,385.489,406.572,432.963,419.552,449.505,469.863,480.167,491.392,509.953,554.511,617.37,640.489,675.87,718.767,723.22,732.565,735.574,734.88,685.812,746.213,770.268,809.859,883.526,936.19,966.344,976.343,965.055
Peru,56.021,68.165,69.371,70.637,71.138,73.412,76.708,68.699,78.91,91.451,94.173,95.673,96.25,95.758,99.643,106.464,111.778,111.677,98.712,104.06,103.181,110.426,118.663,115.815,106.347,105.196,104.258,101.798,110.794,120.567,131.503,135.987,137.171,137.645,141.633,145.79,143.93,147.362,145.227,154.752,161.842,163.071,178.81,192.886,197.746,225.851,249.392,257.454,262.461,269.139,282.18,301.713,309.326,326.149,329.393,276.954
Philippines,54.508,58.918,66.18,74.767,80.092,91.13,104.328,103.25,120.529,112.32,121.574,126.286,136.276,142.101,148.094,145.536,144.776,140.672,151.986,138.201,133.358,135.408,147.014,162.069,175.363,182.199,176.547,204.886,211.884,225.018,250.667,269.528,290.106,294.578,300.06,299.332,294.926,293.002,303.433,313.529,312.224,302.797,315.025,325.477,328.849,339.022,345.622,356.743,382.481,402.363,441.051,481.705,528.338,543.128,559.735,506.944
Poland,775.882,791.002,814.11,876.167,935.886,987.579,1018.82,1074.573,1094.711,1130.779,1219.825,1285.151,1339.955,1406.904,1427.829,1495.106,1347.978,1372.67,1378.924,1433.522,1465.946,1507.33,1556.257,1526.545,1469.192,1210.053,1183.874,1132.081,1131.556,1082.848,1108.356,1163.549,1152.119,1103.694,1082.255,1017.055,1009.848,998.973,1033.678,1040.418,1063.181,1115.55,1111.953,1130.805,1090.06,1161.717,1167.439,1131.891,1135.105,1092.866,1103.783,1152.888,1198.566,1212.59,1176.408,1114.704
Portugal,49.031,53.528,57.272,58.373,63.108,75.765,83.486,90.71,100.328,105.005,104.581,103.777,116.84,123.004,130.492,127.236,125.434,135.473,140.11,145.723,148.492,157.659,161.268,178.579,194.155,196.537,203.997,206.923,212.263,219.615,241.297,247.74,251.614,274.742,282.014,290.721,294.532,293.301,299.857,294.902,294.995,291.51,293.634,283.569,285.318,299.251,285.76,261.247,285.523,291.075,285.753,304.75,296.587,301.276,286.524,259.044
Qatar,1.411,1.421,2.035,6.44,10.119,11.526,11.481,12.701,18.021,15.712,23.445,15.06,20.983,20.128,50.366,53.37,51.059,59.333,61.854,70.41,66.11,72.071,69.853,73.54,77.746,78.838,90.813,144.286,154.293,156.527,155.991,114.897,125.368,134.988,150.267,134.199,128.971,142.029,162.936,196.87,222.861,234.273,255.35,283.082,287.013,333.471,387.976,443.1,480.465,518.865,591.285,577.456,560.687,494.268,534.728,475.503
Romania,278.541,297.084,331.469,352.7,405.415,431.514,457.76,481.96,524.471,527.976,575.833,620.89,658.266,708.852,722.784,729.582,731.305,725.149,720.405,714.969,712.626,728.146,755.108,768.487,770.026,733.17,621.83,548.576,532.933,502.513,551.811,548.495,519.86,475.14,417.583,417.358,422.125,438.142,438.625,454.116,454.465,464.131,447.996,448.867,392.006,394.82,405.207,389.749,362.562,375.511,377.293,377.311,384.183,391.374,382.183,369.751
Saudi Arabia,235.14,238.322,241.765,245.518,249.663,262.855,263.272,282.169,301.0,319.354,253.261,292.794,345.763,385.336,466.843,419.916,501.237,551.853,597.982,715.298,729.734,784.659,831.738,870.275,856.545,928.337,972.452,981.756,1002.85,1159.58,1130.006,1168.553,1190.249,1252.577,1275.43,1334.88,1422.332,1481.383,1569.191,1702.448,1759.006,1828.373,1910.558,2095.512,2195.175,2426.702,2551.05,2705.203,2717.149,2914.913,3005.685,3043.54,3036.162,2957.136,2966.886,2933.478
Singapore,47.888,54.744,65.756,81.735,80.319,87.205,75.698,94.788,89.327,88.059,85.986,101.992,102.375,105.374,112.333,111.571,128.36,124.894,132.312,139.103,141.894,164.721,173.201,200.394,228.502,273.068,278.213,298.486,326.11,372.982,388.839,392.376,412.699,418.408,414.225,442.913,502.883,494.018,466.759,522.476,548.997,604.087,648.606,690.027,742.094,797.532,829.202,832.717,851.039,875.728,931.219,966.375,996.992,1001.675,979.91,948.879
Slovakia,106.438,110.202,110.837,122.385,127.883,141.381,151.656,159.489,165.965,174.511,182.716,189.55,199.201,209.045,215.025,218.376,216.684,214.36,214.944,231.586,238.727,236.593,241.923,243.171,246.598,247.298,221.238,212.735,208.669,205.31,208.192,209.773,205.932,208.076,209.708,216.435,222.599,224.368,217.655,211.897,223.357,215.413,202.036,209.072,190.341,202.666,194.977,187.133,191.757,178.621,180.301,181.061,191.484,188.46,182.032,173.052
South Africa,354.222,356.422,371.15,391.704,403.311,421.473,454.006,468.88,504.428,518.892,553.207,577.266,591.412,585.665,604.893,645.686,751.63,808.533,819.347,895.187,914.127,930.884,945.793,1041.106,994.564,1028.983,1021.347,1026.349,1024.798,1068.537,1116.747,1138.798,1164.352,1143.831,1182.766,1184.209,1190.409,1159.84,1256.876,1371.638,1298.461,1324.769,1360.819,1458.496,1451.993,1461.606,1443.46,1421.535,1427.698,1444.169,1414.572,1479.388,1471.641,1415.594,1446.639,1361.639
South Korea,74.69,90.592,104.114,119.353,144.076,167.247,180.954,187.608,232.107,241.228,265.296,296.81,341.395,382.243,440.552,453.48,474.7,475.016,516.098,563.65,622.598,698.221,773.428,863.952,938.861,1062.038,1201.626,1355.784,1486.849,1604.05,1752.337,1935.416,2125.981,1912.239,2084.677,2206.129,2261.189,2368.33,2445.289,2501.833,2585.865,2627.991,2708.041,2753.788,2770.559,3004.185,3146.259,3177.192,3186.417,3212.997,3264.134,3340.507,3407.23,3452.612,3402.167,3274.316
Spain,333.878,376.918,407.482,428.644,484.674,523.709,576.327,622.897,683.642,711.437,731.66,783.039,808.64,811.828,873.933,881.261,889.538,888.355,909.257,922.335,914.747,934.484,968.756,1010.175,1061.327,1060.73,1098.081,1152.147,1113.521,1166.039,1211.485,1255.554,1326.167,1390.385,1434.882,1517.153,1584.854,1604.482,1692.409,1755.727,1770.003,1793.801,1832.647,1780.611,1647.991,1688.587,1658.039,1648.229,1560.972,1531.695,1553.121,1566.914,1587.591,1608.542,1554.292,1381.183
Sri Lanka,6.498,6.725,6.892,7.207,7.552,14.108,13.269,14.343,14.427,12.669,12.568,12.591,13.486,15.557,16.15,16.305,18.743,20.77,21.202,21.054,20.532,21.105,21.706,22.379,22.198,24.132,24.922,27.188,29.141,31.957,34.856,36.263,39.103,42.41,46.026,49.674,48.678,49.757,51.705,49.974,57.395,62.389,63.53,59.345,61.247,65.618,68.93,69.459,70.614,75.317,80.807,86.093,90.809,96.163,99.247,90.734
Sweden,384.633,410.88,420.382,449.614,450.828,479.036,485.929,500.408,528.82,489.015,518.302,551.817,544.444,633.958,668.765,628.598,622.746,592.28,586.92,620.689,674.658,700.987,684.156,668.411,653.141,664.438,630.399,634.005,627.003,629.141,635.061,619.38,638.619,691.336,671.27,620.182,665.813,624.269,599.591,643.896,660.094,620.818,628.773,617.996,565.429,599.512,592.096,627.069,588.614,585.663,603.843,593.814,612.956,599.848,622.722,610.949
Switzerland,178.15,191.173,204.094,214.697,222.475,243.732,249.575,246.489,272.509,260.015,269.299,258.03,285.657,281.791,280.846,300.304,299.548,293.23,305.369,296.414,316.543,332.437,330.071,332.458,311.253,324.701,333.28,338.602,337.472,354.299,335.976,325.392,347.433,349.507,364.464,355.818,379.807,354.015,350.21,345.232,331.508,345.014,340.329,351.801,350.847,341.46,324.247,342.09,351.138,334.727,327.326,307.948,308.679,313.329,326.727,299.421
Taiwan,69.894,74.899,81.796,93.815,98.376,107.165,134.667,143.819,168.225,160.84,177.178,216.117,237.277,280.117,297.274,313.655,293.174,327.45,369.158,382.891,399.692,433.063,468.223,515.466,549.058,583.609,622.41,657.371,697.652,734.449,783.032,816.479,864.475,922.853,967.945,1033.265,1066.549,1116.095,1149.441,1223.108,1235.073,1262.803,1314.362,1269.96,1237.389,1323.839,1312.624,1305.29,1331.997,1361.841,1360.823,1361.794,1368.096,1386.451,1361.591,1338.485
Thailand,30.556,36.403,41.433,53.22,56.287,66.953,74.15,90.117,95.551,99.325,109.508,115.633,127.338,138.722,146.175,146.451,148.244,151.759,167.802,184.656,193.493,206.3,236.706,265.203,304.844,360.685,398.315,439.647,500.641,561.29,615.373,695.76,733.334,679.309,726.095,735.02,773.019,852.24,921.499,996.574,1033.402,1048.414,1095.091,1108.451,1146.769,1219.017,1266.004,1353.193,1375.877,1413.232,1446.378,1478.031,1503.276,1535.338,1531.525,1421.846
Trinidad and Tobago,33.626,35.777,38.138,39.314,40.542,44.681,45.146,62.23,61.725,59.454,47.905,53.866,56.041,56.424,49.852,47.939,50.623,59.456,58.011,57.181,59.095,61.441,58.001,63.743,62.711,69.587,69.379,73.434,77.406,82.03,88.958,100.794,100.768,102.284,113.682,118.827,128.209,139.128,155.985,171.538,183.928,214.824,221.526,218.267,216.458,233.87,229.673,226.1,230.295,229.111,222.302,197.232,209.285,198.092,197.438,173.257
Turkey,91.001,104.447,108.045,125.783,137.336,146.071,161.849,180.779,205.055,208.989,232.537,261.627,286.457,302.794,285.358,296.408,298.883,326.142,337.68,355.296,383.934,418.573,476.254,522.192,514.394,557.845,569.635,598.515,649.563,629.44,704.109,767.775,803.522,823.793,803.332,859.066,781.26,853.601,904.026,966.679,989.854,1098.145,1168.092,1172.446,1187.761,1250.385,1336.184,1418.387,1407.437,1453.243,1589.758,1669.622,1770.15,1748.158,1807.463,1747.137
United Arab Emirates,0.855,0.912,5.407,6.945,6.969,9.606,14.638,15.65,20.293,22.296,23.859,30.19,49.632,57.501,67.56,108.156,125.928,135.966,130.515,162.547,201.634,244.387,273.077,301.883,340.165,344.953,420.837,406.696,423.47,464.674,484.871,499.688,521.456,534.113,538.343,535.743,541.502,591.616,631.066,674.937,704.457,741.126,818.207,938.247,925.42,971.899,1020.736,1074.724,1134.115,1121.56,1240.01,1289.397,1292.778,1275.291,1264.647,1163.958
United Kingdom,2314.494,2325.479,2325.948,2409.193,2496.407,2548.676,2501.599,2538.339,2664.723,2530.441,2385.749,2434.386,2479.849,2494.24,2610.979,2378.205,2312.132,2281.729,2290.614,2289.379,2386.368,2452.672,2448.886,2481.021,2483.551,2503.3,2555.903,2539.387,2568.081,2536.941,2545.647,2669.196,2622.354,2650.043,2636.631,2659.163,2688.553,2628.147,2665.403,2679.592,2707.909,2674.728,2594.804,2547.286,2419.773,2476.405,2340.555,2368.107,2356.086,2219.632,2244.819,2219.957,2210.394,2207.484,2146.401,1915.147
United States,14398.359,15205.429,15731.625,16671.432,17530.173,18152.51,18531.157,19453.544,20277.137,19772.831,19246.783,20304.552,20830.978,21281.481,21507.891,20676.477,20063.962,19234.678,19161.285,20144.516,20097.048,20280.516,20967.992,21927.096,22450.386,22499.337,22466.546,22803.945,23279.506,23711.226,24220.908,25034.488,25224.46,25390.094,25839.653,26425.702,25802.498,26175.448,26256.308,26772.507,26783.435,26565.603,26935.281,26271.89,24965.631,25808.939,25569.276,24894.316,25567.077,25830.042,25579.485,25544.396,25626.88,26566.233,26359.991,24387.388
Venezuela,191.239,193.057,203.523,219.44,221.802,223.74,227.246,240.163,274.902,284.143,295.348,322.795,359.681,367.556,405.102,453.61,470.578,479.84,477.729,486.786,499.714,536.738,535.29,557.195,561.849,596.927,599.659,649.143,642.149,697.138,718.177,699.213,739.092,784.35,784.513,807.048,839.434,849.559,793.138,860.775,886.35,935.284,988.571,969.378,967.316,933.456,956.009,1001.528,1014.943,965.241,953.305,830.519,812.527,687.015,541.504,400.429
Vietnam,29.394,51.412,70.864,73.48,86.793,90.536,80.715,78.259,82.602,61.415,68.261,39.467,42.218,43.762,47.138,53.883,54.004,57.692,60.383,60.851,60.493,66.27,74.69,74.608,70.594,75.844,77.012,84.079,95.997,107.193,124.422,142.772,165.042,178.54,184.159,209.652,236.761,259.304,279.898,342.424,362.478,331.296,361.868,449.442,457.419,520.243,592.108,621.212,652.547,715.132,794.946,857.925,918.556,1035.414,1157.319,1135.833
Western Africa,51.813,56.955,57.871,58.429,65.525,73.542,94.799,102.403,114.929,118.104,127.276,154.996,167.88,176.983,205.531,218.989,228.77,238.722,220.018,202.267,216.47,213.785,223.511,238.634,251.296,244.017,260.268,281.308,283.031,279.185,287.618,311.591,310.261,316.483,317.663,339.179,368.303,401.846,398.026,412.114,425.355,389.135,415.781,447.311,418.491,438.045,480.051,501.64,503.477,519.165,600.513,619.11,669.76,744.152,763.636,722.877
